name,idnumber,description,contextid,visible
นักเรียน ปวช.1/ช่างยนต์/1,STD-D1-YON-1,นักเรียนระดับ ปวช. ชั้นปีที่ 1 สาขาวิชาช่างยนต์ กลุ่ม 1,1,1
นักเรียน ปวช.1/ช่างยนต์/2,STD-D1-YON-2,นักเรียนระดับ ปวช. ชั้นปีที่ 1 สาขาวิชาช่างยนต์ กลุ่ม 2,1,1
นักเรียน ปวช.2/ช่างยนต์/1,STD-D2-YON-1,นักเรียนระดับ ปวช. ชั้นปีที่ 2 สาขาวิชาช่างยนต์ กลุ่ม 1,1,1
นักเรียน ปวช.2/ช่างยนต์/2,STD-D2-YON-2,นักเรียนระดับ ปวช. ชั้นปีที่ 2 สาขาวิชาช่างยนต์ กลุ่ม 2,1,1
นักเรียน ปวช.3/ช่างยนต์/1,STD-D3-YON-1,นักเรียนระดับ ปวช. ชั้นปีที่ 3 สาขาวิชาช่างยนต์ กลุ่ม 1,1,1
นักเรียน ปวช.3/ช่างยนต์/2,STD-D3-YON-2,นักเรียนระดับ ปวช. ชั้นปีที่ 3 สาขาวิชาช่างยนต์ กลุ่ม 2,1,1
นักศึกษา ปวส.1/ช่างยนต์/1,STD-H1-YON-1,นักศึกษาระดับ ปวส. ชั้นปีที่ 1 สาขาวิชาเทคโนโลยียานยนต์ กลุ่ม 1,1,1
นักศึกษา ปวส.1/ช่างยนต์/2,STD-H1-YON-2,นักศึกษาระดับ ปวส. ชั้นปีที่ 1 สาขาวิชาเทคโนโลยียานยนต์ กลุ่ม 2,1,1
นักศึกษา ปวส.2/ช่างยนต์/1,STD-H2-YON-1,นักศึกษาระดับ ปวส. ชั้นปีที่ 2 สาขาวิชาเทคโนโลยียานยนต์ กลุ่ม 1,1,1
นักศึกษา ปวส.2/ช่างยนต์/2,STD-H2-YON-2,นักศึกษาระดับ ปวส. ชั้นปีที่ 2 สาขาวิชาเทคโนโลยียานยนต์ กลุ่ม 2,1,1
นักเรียน ปวช.1/ช่างไฟฟ้า/1,STD-D1-ELE-1,นักเรียนระดับ ปวช. ชั้นปีที่ 1 สาขาวิชาช่างไฟฟ้ากำลัง กลุ่ม 1,1,1
นักเรียน ปวช.1/ช่างไฟฟ้า/2,STD-D1-ELE-2,นักเรียนระดับ ปวช. ชั้นปีที่ 1 สาขาวิชาช่างไฟฟ้ากำลัง กลุ่ม 2,1,1
นักเรียน ปวช.2/ช่างไฟฟ้า/1,STD-D2-ELE-1,นักเรียนระดับ ปวช. ชั้นปีที่ 2 สาขาวิชาช่างไฟฟ้ากำลัง กลุ่ม 1,1,1
นักเรียน ปวช.2/ช่างไฟฟ้า/2,STD-D2-ELE-2,นักเรียนระดับ ปวช. ชั้นปีที่ 2 สาขาวิชาช่างไฟฟ้ากำลัง กลุ่ม 2,1,1
