shortname,fullname,category_idnumber,idnumber,summary,startdate,enddate,format,numsections
TH10101-M1-2568-1,[TH10101] ภาษาไทย 1 - ม.1 - ภาคเรียนที่ 1/2568,AY2568-S1-M1,TH10101,รายวิชาภาษาไทยพื้นฐาน 1 สำหรับนักเรียนชั้นมัธยมศึกษาปีที่ 1 เน้นทักษะการอ่าน การเขียน และการใช้ภาษา,1714492800,1727644800,topics,8
MA10101-M1-2568-1,[MA10101] คณิตศาสตร์พื้นฐาน 1 - ม.1 - ภาคเรียนที่ 1/2568,AY2568-S1-M1,MA10101,รายวิชาคณิตศาสตร์พื้นฐาน 1 เนื้อหาประกอบด้วย จำนวนเต็ม เศษส่วน ทศนิยม ร้อยละ และอัตราส่วน,1714492800,1727644800,topics,8
SC10101-M1-2568-1,[SC10101] วิทยาศาสตร์พื้นฐาน 1 - ม.1 - ภาคเรียนที่ 1/2568,AY2568-S1-M1,SC10101,รายวิชาวิทยาศาสตร์และเทคโนโลยีพื้นฐาน 1 ศึกษาเกี่ยวกับสิ่งมีชีวิต สิ่งแวดล้อม และกระบวนการทางวิทยาศาสตร์,1714492800,1727644800,topics,8
SO10101-M1-2568-1,[SO10101] สังคมศึกษา ศาสนา และวัฒนธรรม 1 - ม.1 - ภาคเรียนที่ 1/2568,AY2568-S1-M1,SO10101,รายวิชาสังคมศึกษา ศาสนา และวัฒนธรรม 1 ศึกษาประวัติศาสตร์ไทย ภูมิศาสตร์ และหน้าที่พลเมือง,1714492800,1727644800,topics,8
EN10101-M1-2568-1,[EN10101] ภาษาอังกฤษพื้นฐาน 1 - ม.1 - ภาคเรียนที่ 1/2568,AY2568-S1-M1,EN10101,รายวิชาภาษาอังกฤษพื้นฐาน 1 เน้นทักษะการฟัง พูด อ่าน และเขียนภาษาอังกฤษเบื้องต้น,1714492800,1727644800,topics,8
PE10101-M1-2568-1,[PE10101] สุขศึกษาและพลศึกษา 1 - ม.1 - ภาคเรียนที่ 1/2568,AY2568-S1-M1,PE10101,รายวิชาสุขศึกษาและพลศึกษา 1 ส่งเสริมสุขภาพกายและจิต กีฬา และนันทนาการ,1714492800,1727644800,topics,8
AR10101-M1-2568-1,[AR10101] ศิลปะ 1 - ม.1 - ภาคเรียนที่ 1/2568,AY2568-S1-M1,AR10101,รายวิชาศิลปะ 1 ศึกษาทัศนศิลป์ ดนตรี และนาฏศิลป์ เพื่อพัฒนาความคิดสร้างสรรค์,1714492800,1727644800,topics,8
OC10101-M1-2568-1,[OC10101] การงานอาชีพ 1 - ม.1 - ภาคเรียนที่ 1/2568,AY2568-S1-M1,OC10101,รายวิชาการงานอาชีพ 1 เรียนรู้ทักษะพื้นฐานการทำงาน เทคโนโลยี และการประกอบอาชีพ,1714492800,1727644800,topics,8
TH10102-M2-2568-1,[TH10102] ภาษาไทย 2 - ม.2 - ภาคเรียนที่ 1/2568,AY2568-S1-M2,TH10102,รายวิชาภาษาไทยพื้นฐาน 2 สำหรับนักเรียนชั้นมัธยมศึกษาปีที่ 2 ต่อยอดทักษะการใช้ภาษาในระดับที่สูงขึ้น,1714492800,1727644800,topics,8
MA10102-M2-2568-1,[MA10102] คณิตศาสตร์พื้นฐาน 2 - ม.2 - ภาคเรียนที่ 1/2568,AY2568-S1-M2,MA10102,รายวิชาคณิตศาสตร์พื้นฐาน 2 ศึกษาพีชคณิต เรขาคณิต และสถิติเบื้องต้น,1714492800,1727644800,topics,8
SC10102-M2-2568-1,[SC10102] วิทยาศาสตร์พื้นฐาน 2 - ม.2 - ภาคเรียนที่ 1/2568,AY2568-S1-M2,SC10102,รายวิชาวิทยาศาสตร์และเทคโนโลยีพื้นฐาน 2 ศึกษาเคมี ฟิสิกส์ และชีววิทยาในระดับที่สูงขึ้น,1714492800,1727644800,topics,8
SO10102-M2-2568-1,[SO10102] สังคมศึกษา ศาสนา และวัฒนธรรม 2 - ม.2 - ภาคเรียนที่ 1/2568,AY2568-S1-M2,SO10102,รายวิชาสังคมศึกษา ศาสนา และวัฒนธรรม 2 ศึกษาอาเซียน เศรษฐศาสตร์ และสังคมไทย,1714492800,1727644800,topics,8
TH10103-M3-2568-1,[TH10103] ภาษาไทย 3 - ม.3 - ภาคเรียนที่ 1/2568,AY2568-S1-M3,TH10103,รายวิชาภาษาไทยพื้นฐาน 3 สำหรับนักเรียนชั้นมัธยมศึกษาปีที่ 3 เตรียมความพร้อมสู่มัธยมปลาย,1714492800,1727644800,topics,8
MA10103-M3-2568-1,[MA10103] คณิตศาสตร์พื้นฐาน 3 - ม.3 - ภาคเรียนที่ 1/2568,AY2568-S1-M3,MA10103,รายวิชาคณิตศาสตร์พื้นฐาน 3 ศึกษาฟังก์ชัน กราฟ และความน่าจะเป็น,1714492800,1727644800,topics,8
TH20101-M4-2568-1,[TH20101] ภาษาไทย 4 - ม.4 - ภาคเรียนที่ 1/2568,AY2568-S1-M4,TH20101,รายวิชาภาษาไทย 4 สำหรับนักเรียนชั้นมัธยมศึกษาปีที่ 4 ศึกษาวรรณคดีและการใช้ภาษาในระดับสูง,1714492800,1727644800,topics,8
MA20101-M4-2568-1,[MA20101] คณิตศาสตร์ 4 - ม.4 - ภาคเรียนที่ 1/2568,AY2568-S1-M4,MA20101,รายวิชาคณิตศาสตร์ 4 ศึกษาแคลคูลัสเบื้องต้น เมทริกซ์ และเวกเตอร์,1714492800,1727644800,topics,8
SC20101-M4-2568-1,[SC20101] ฟิสิกส์ 1 - ม.4 - ภาคเรียนที่ 1/2568,AY2568-S1-M4,SC20101,รายวิชาฟิสิกส์ 1 ศึกษากลศาสตร์ คลื่น และเสียง,1714492800,1727644800,topics,8
SC20102-M4-2568-1,[SC20102] เคมี 1 - ม.4 - ภาคเรียนที่ 1/2568,AY2568-S1-M4,SC20102,รายวิชาเคมี 1 ศึกษาโครงสร้างอะตอม ตารางธาตุ และพันธะเคมี,1714492800,1727644800,topics,8
SC20103-M4-2568-1,[SC20103] ชีววิทยา 1 - ม.4 - ภาคเรียนที่ 1/2568,AY2568-S1-M4,SC20103,รายวิชาชีววิทยา 1 ศึกษาเซลล์ พันธุศาสตร์ และวิวัฒนาการ,1714492800,1727644800,topics,8
EN20101-M4-2568-1,[EN20101] ภาษาอังกฤษ 4 - ม.4 - ภาคเรียนที่ 1/2568,AY2568-S1-M4,EN20101,รายวิชาภาษาอังกฤษ 4 พัฒนาทักษะการสื่อสารภาษาอังกฤษขั้นสูง,1714492800,1727644800,topics,8
